it;exchange;exchange;exchange;exchangeRand;exchangeRand;exchangeRand;swap;swap;swap;inversion;inversion;inversion;scramble;scramble;scramble;randShuffle;randShuffle;randShuffle;add;add;add;addRand;addRand;addRand
12;143;897,371;888,127;20;897,249;886,091;11;897,37;886,117;6;897,208;885,349;23;897,34;881,223;16;891,455;848,486;12;901,231;888,229;9;897,249;884,663
13;134;907,194;891,381;12;893,594;880,764;13;897,371;881,455;7;897,325;891,2;30;901,183;888,223;17;897,249;847,791;13;907,206;889,679;14;910,131;896,478
14;105;911,307;896,203;22;907,161;891,388;13;907,254;893,593;10;907,318;890,735;33;907,329;888,239;23;897,371;850,301;21;911,222;879,098;13;911,189;898,066
15;104;914,085;900,599;30;911,291;892,899;11;907,174;897,499;9;908,168;892,788;31;911,278;897,023;17;907,161;842,757;21;918,283;903,716;17;914,252;905,375
16;109;924,011;905,969;25;914,871;898,372;19;917,171;897,607;16;914,326;892,201;23;914,145;901,907;21;914,069;861,053;13;924,072;912,222;14;921,959;904,597
17;74;927,222;913,06;21;918,046;902,556;27;920,302;912,975;17;921,069;908,933;40;924,07;908,336;20;919,055;868,488;20;934,086;920,009;21;927,94;913,299
18;94;935,113;919,396;15;927,222;911,948;19;927,813;906,34;10;927,277;913,499;38;927,292;914,017;33;934,086;870,719;17;935,12;919,81;14;937,041;914,078
19;76;938,056;919,96;27;935,968;914,502;20;935,091;916,279;27;935,126;921,326;30;937,286;920,564;24;927,222;877,712;18;939,01;928,489;18;937,018;928,399
20;64;940,907;920,459;29;938,056;911,613;19;937,983;907,299;17;937,874;920,927;29;938,131;923,23;34;938,056;865,151;24;942,936;926,542;24;938,056;911,326
21;84;940,907;931,024;23;939,943;920,326;14;938,149;917,595;22;938,299;922,711;34;941,96;923,72;33;939,802;867,056;14;944,848;932,784;16;943,012;923,061
22;73;949,876;929,878;18;939,817;918,16;21;944,848;929,44;16;938,837;904,448;41;942,925;923,003;35;941,96;870,491;23;944,848;932,343;13;938,166;925,452
23;58;949,876;930,711;29;943,893;915,049;27;948,855;932,452;25;949,829;929,705;26;947,928;926,318;29;946,937;859,573;26;946,937;925,3;20;951,902;922,973
24;62;949,973;940,886;23;949,909;932,545;21;951,902;934,474;19;949,872;931,985;35;949,91;935,248;34;949,876;862,555;28;949,957;934,544;18;947,885;918,76
25;48;949,973;941,889;29;949,91;931,247;27;950,015;936,081;15;950,078;912,482;43;949,973;929,335;26;949,957;870,666;31;953,848;933,037;21;951,902;939,523
26;47;950,05;940,875;30;950,015;929,839;29;950,896;939,815;14;949,986;935,295;31;954,938;932,822;39;949,987;864,725;24;957,935;939,407;26;954,865;930,245
27;39;955,016;938,251;30;950,05;917,869;24;955,016;929,985;16;949,987;921,052;47;955,016;934,163;36;949,989;871,302;23;957,984;943,428;25;954,938;935,431
28;45;955,192;935,772;25;955,016;930,814;19;957,905;927,637;23;954,865;921,613;40;955,016;926,849;32;957,92;863,771;32;957,902;933,744;24;954,938;928,966
29;49;958,126;938,266;34;956,121;929,495;15;955,016;935,19;26;955,016;930,173;44;957,927;930,285;27;954,865;876,635;27;963,126;935,709;18;951,013;929,603
30;41;958,126;944,194;35;958,126;930,003;26;958,126;940,377;24;958,13;921,087;30;958,186;932,011;38;958,126;880,589;25;963,126;933,019;21;963,126;943,56
31;41;963,126;946,618;23;963,126;935,23;28;963,126;938,489;24;963,126;942,778;41;963,126;942,207;27;963,126;881,8;26;965,057;952,142;30;960,154;933,86
32;28;963,126;954,685;37;963,13;944,113;22;963,167;949,42;19;963,126;946,496;43;963,199;942,566;37;963,126;863,301;31;965,158;953,733;23;963,13;951,932
33;40;965,158;952,623;34;965,131;942,174;25;965,055;949,634;24;963,202;945,182;37;965,159;938,224;26;956,162;858,927;25;965,131;958,165;29;963,126;955,241
34;31;963,167;954,397;30;963,13;947,654;24;965,158;946,542;36;965,159;936,833;42;965,158;938,569;30;965,158;885,157;23;965,135;955,11;24;965,112;954,085
35;27;965,159;956,453;39;965,131;950,203;29;965,158;950,35;19;960,192;942,84;40;965,179;936,07;37;965,158;892,124;27;968,118;953,669;22;965,118;948,468
36;32;965,158;955,406;35;965,179;949,893;29;968,135;953,342;23;965,159;942,93;37;965,191;940,445;38;965,179;869,916;28;965,191;955,075;18;968,118;948,401
37;26;965,179;954,209;20;965,185;943,672;21;965,264;955,856;25;965,159;945,764;44;968,135;943,049;36;968,135;884,473;23;965,203;957,16;45;965,185;945,301
38;32;965,259;957,979;28;965,203;951,471;24;965,31;952,752;20;965,249;938,219;38;965,264;945,209;33;968,135;880,425;39;968,162;957,153;26;968,135;947,066
39;33;968,133;956,088;15;965,145;944,955;26;965,283;952,829;26;968,172;938,502;30;968,135;941,067;47;965,297;872,446;34;968,216;956,112;29;968,135;954,308
40;31;968,135;954,208;30;965,283;947,52;27;968,234;958,888;29;968,135;939,848;35;968,23;938,196;40;967,063;872,44;26;968,246;957,866;22;968,125;955,821
41;24;968,151;953,127;37;968,234;944,776;35;968,24;951,894;34;968,234;937,335;28;968,289;935,875;35;968,135;879,17;25;968,251;956,567;22;965,252;946,452
42;24;968,289;956,615;37;966,166;944,565;26;968,199;949,502;29;968,285;941,527;28;968,24;938,462;38;968,234;871,594;26;968,289;954,408;32;968,204;949,223
43;25;968,241;959,344;44;968,289;940,541;26;968,315;957,305;26;968,268;940,209;38;968,199;937,874;26;968,268;847,707;29;973,258;953,059;26;970,184;949,032
44;25;968,213;959,53;37;968,268;937,579;33;973,209;950,759;31;973,218;944,644;43;973,218;945,12;33;967,181;870,908;22;974,125;952,814;16;973,218;954,869
45;27;973,209;948,088;34;973,249;948,125;28;973,218;959,151;28;973,218;945,485;43;973,218;937,643;32;973,218;874,539;21;973,209;957,36;27;973,209;953,927
46;27;974,125;961,49;36;973,218;952,998;24;973,249;949,752;29;973,218;944,818;39;973,218;943,897;33;973,218;888,429;28;974,225;965,078;24;973,218;957,627
47;20;974,125;963,122;36;969,153;952,359;27;974,125;957,369;21;973,218;945,759;41;974,125;945,051;37;974,125;874,075;29;974,125;959,116;29;979,135;954,175
48;32;974,148;964,024;31;974,192;944,493;28;974,125;953,433;27;974,125;936,054;48;974,125;945,78;27;973,248;860,376;29;974,136;959,441;18;973,248;960,339
49;35;974,148;963,053;40;974,148;952,213;22;974,16;958,91;25;974,192;947,807;38;974,125;940,911;30;973,218;855,003;26;974,215;962,932;24;974,148;951,917
50;31;974,257;962,333;29;974,17;961,126;26;974,215;955,54;30;974,151;941,492;45;974,154;936,024;40;974,136;863,663;21;979,062;951,428;18;974,17;959,033
51;28;974,238;958,959;36;974,16;952,072;24;979,062;948,74;27;974,238;940,789;39;974,238;937,969;34;974,151;855,87;27;974,222;964,982;25;979,209;958,929
52;28;979,209;959,849;34;975,135;960,045;32;974,238;954,524;25;979,062;940,485;37;974,238;943,077;32;975,136;877,129;21;974,238;963,289;31;975,136;947,626
53;15;974,244;971,081;40;974,238;946,445;26;975,163;960,349;29;979,209;935,552;39;979,209;949,415;36;975,136;881,796;26;974,238;965,905;29;979,209;958,262
54;24;975,182;954,936;28;979,209;960,536;33;979,287;967,208;25;979,209;947,081;42;979,209;955,423;38;979,209;866,182;26;980,173;963,449;24;979,209;962,515
55;26;979,209;967,504;42;979,287;961,536;17;979,315;946,378;27;979,209;937,694;40;979,243;957,021;40;980,173;876,354;23;979,275;959,49;25;979,209;960,073
56;39;979,315;971,369;29;979,315;964,993;31;980,161;959,839;22;979,209;940,564;33;979,209;936,815;31;979,209;871,603;25;979,243;966,798;30;981,301;958,774
57;27;979,315;973,041;43;981,301;961,154;26;979,243;961,998;25;981,301;941,166;31;981,301;951,028;38;981,301;875,096;30;979,228;967,353;20;979,27;947,722
58;28;979,315;968,122;29;979,209;958,999;25;981,301;969,177;27;979,315;938,61;45;981,301;947,141;44;981,301;872,358;18;981,301;971,454;24;981,301;963,323
59;24;981,301;971,721;30;981,301;958,674;29;981,301;965,573;28;979,209;930,205;36;981,301;946,643;36;981,301;872,484;30;981,301;963,284;27;981,301;955,405
60;37;981,301;964,138;27;981,301;952,157;32;981,348;959,237;24;981,301;945,633;42;981,301;946,868;24;981,301;855,989;28;981,301;961,361;26;981,301;958,269
61;24;984,306;972,359;33;981,348;951,974;30;981,301;965,769;33;981,348;944,353;36;981,348;953,44;27;981,301;853,688;26;981,301;957,706;31;981,348;964,464
62;21;984,306;973,971;39;981,348;963,455;36;981,366;964,204;21;981,348;934,083;32;981,348;938,068;35;981,348;857,501;25;981,348;968,91;31;981,348;960,436
63;23;984,325;976,012;37;984,306;961,648;28;984,442;960,181;27;981,348;941,386;38;981,348;945,553;43;984,306;879,392;24;984,306;966,816;20;984,306;961,332
64;28;984,387;967,943;43;984,306;950,622;27;984,306;958,141;26;981,348;942,9;39;984,325;948,037;31;984,442;875,27;24;984,306;968,167;22;984,173;963,129
65;16;984,442;975,482;28;984,387;959,867;33;984,442;965,853;16;984,306;942,985;33;984,442;952,114;44;984,325;859,779;33;984,463;969,321;37;984,325;964,392
66;17;979,5;970,678;24;984,325;958,165;28;984,463;957,625;31;984,463;960,813;41;984,325;949,402;31;984,325;856,627;36;984,474;967,879;32;984,442;959,151
67;25;984,402;972,115;36;984,387;963,979;21;984,442;971,144;23;984,325;937,415;35;984,442;949,892;41;984,463;879,04;28;989,441;975,795;31;984,474;957,07
68;21;989,441;975,034;28;984,463;965,727;37;984,463;971,462;24;984,463;942,664;40;984,422;953,009;38;984,46;874,251;26;989,443;972,687;26;991,236;965,897
69;17;991,236;978,444;28;991,236;971,165;26;989,429;966,793;23;991,236;951,615;43;991,257;955,514;39;984,463;875,797;24;989,429;966,017;40;989,429;970,763
70;26;991,257;981,966;27;991,236;956,88;37;991,298;969,755;27;991,236;956,81;46;991,236;957,554;28;991,236;870,91;23;991,236;974,357;26;991,236;971,668
71;21;991,236;975,227;31;991,236;965,054;20;991,322;976,123;32;991,236;957,288;43;991,236;955,037;40;991,298;867,203;26;991,236;982,717;27;991,236;970,188
72;24;991,236;982,89;31;991,236;956,242;28;991,298;969,425;28;991,236;963,334;38;991,236;957,657;32;991,236;879,215;30;991,322;972,179;29;991,236;975,917
73;24;991,236;978,177;35;991,236;964,271;20;991,322;966,133;28;991,236;962,218;41;991,298;961,328;30;991,236;901,403;34;991,298;983,035;28;991,261;976,953
74;25;991,236;977,162;30;991,236;974,359;33;991,276;977,961;26;991,236;969,426;38;991,264;966,893;24;991,322;842,852;27;991,341;980,838;37;991,236;977,143
75;28;991,392;976,692;21;991,264;976,97;34;991,276;970,899;25;991,236;947,172;45;991,341;967,654;45;991,276;872,22;23;991,319;982,761;19;991,236;970,273
76;19;991,236;968,058;33;991,236;968,061;19;991,342;979,781;37;991,236;953,639;44;991,236;966,16;28;991,236;871,595;27;991,397;977,935;33;991,352;981,084
77;27;991,392;979,235;26;991,236;969,987;34;991,278;975,056;27;991,392;965,943;37;991,266;952,55;35;991,236;853,501;23;991,4;979,888;31;991,392;970,51
78;26;991,392;973,016;36;991,392;974,157;27;991,236;969,312;20;991,392;966,944;41;991,392;959,724;38;991,4;876,448;25;991,392;971,922;27;991,236;974,687
79;20;991,264;982,495;37;991,236;973,844;30;991,392;974,371;24;991,392;962,828;38;991,4;955,471;32;991,392;871,774;27;991,392;983,555;32;991,392;974,997
80;26;991,4;977,38;35;991,392;973,484;22;985,346;977,176;19;991,368;955,415;40;991,355;955,088;33;991,392;877,728;27;991,392;978,872;38;991,448;979,415
81;26;991,392;981,372;45;991,392;969,804;20;991,392;978,761;23;991,4;973,282;38;991,392;955,592;39;991,392;882,291;28;991,416;980,044;21;991,432;977,423
82;15;991,392;985,716;41;991,392;973,364;29;991,41;973,812;30;991,397;957,962;39;991,432;960,99;38;991,392;857,545;29;991,477;981,303;19;991,392;977,676
83;21;991,455;978,873;25;991,392;977,528;32;991,47;976,282;31;991,407;955,025;38;991,392;963,804;29;991,392;862,639;33;991,493;980,335;31;993,437;970,119
84;30;991,417;976,119;36;991,455;975,913;28;991,454;976,837;33;993,505;964,665;35;991,446;961,398;31;991,493;871,433;27;993,497;978,859;20;991,493;980,425
85;27;991,493;980,93;31;991,392;971,554;29;991,493;968,803;20;993,497;974,409;36;991,493;964,296;43;991,493;881,459;21;993,462;984,494;33;993,462;983,914
86;19;991,452;985,105;35;991,424;969,885;19;993,502;984,103;30;991,519;959,281;39;991,493;970,279;26;993,462;881,125;34;996,438;982,117;38;991,493;976,356
87;19;993,493;981,832;30;993,493;975,575;32;993,493;985,223;21;991,493;982,419;45;993,493;960,542;25;993,502;881,174;31;993,539;984,116;37;996,431;974,629
88;36;994,512;984,732;31;993,539;979,155;29;993,501;982,099;29;993,462;962,035;37;993,539;969,218;26;993,501;890,163;26;996,438;987,476;26;993,539;977,746
89;25;993,493;985,982;25;996,438;980,718;29;993,533;980,495;26;993,539;958,928;37;993,539;966,246;28;993,462;855,08;35;993,539;981,86;35;993,539;981,365
90;22;993,539;990,377;28;992,493;969,052;27;993,539;984,058;29;993,533;968,538;45;993,539;959,073;34;993,539;857,052;27;996,409;978,311;28;993,514;976,348
91;29;996,474;985,614;39;993,539;968,56;35;993,561;978,373;21;993,539;955,331;32;993,539;965,04;38;993,539;873,301;19;993,539;983,555;27;995,484;981,027
92;17;994,532;989,758;39;994,533;977,398;37;993,561;978,091;18;993,539;956,084;28;993,539;964,521;37;993,539;847,258;30;998,527;982,229;34;993,539;978,143
93;17;994,533;973,36;32;996,436;978,768;25;998,527;973,767;34;993,55;966,565;40;993,564;961,898;38;994,533;842,658;24;997,483;982,606;30;994,533;977,332
94;18;998,516;976,06;33;994,533;975,014;23;994,533;982,554;27;993,55;964,728;32;996,436;953,151;44;994,533;858,389;29;996,458;977,806;34;993,623;959,821
95;36;996,572;985,954;25;994,533;969,508;30;996,438;982,14;23;994,533;950,194;38;996,436;956,69;34;996,481;846,562;20;997,483;969,309;34;994,533;972,946
96;32;996,501;989,966;28;996,438;978,178;23;997,483;978,972;30;997,483;970,488;45;996,471;951,414;34;994,533;854,273;24;996,481;981,535;24;997,483;957,49
97;24;996,52;983,14;33;996,438;972,21;43;997,483;981,827;15;996,501;956,368;34;996,477;958,19;31;996,501;867,139;32;996,481;980,043;28;997,481;977,705
98;26;997,483;990,158;32;996,501;980,011;22;997,483;986,961;21;996,501;949,94;38;997,483;956,637;40;997,483;848,085;26;997,483;985,153;35;996,52;984,052
99;25;997,47;975,421;28;996,501;977,169;27;997,483;976,827;26;997,483;974,264;45;997,483;947,722;37;996,477;887,435;30;996,501;979,67;22;997,483;977,992
100;30;997,483;982,686;30;997,483;985,398;24;997,499;987,28;32;997,533;968,698;33;997,483;960,68;32;997,483;862,456;29;997,52;988,019;30;998,587;988,13
101;18;997,483;992,095;36;997,484;971,273;26;997,52;986,463;23;997,52;965,478;38;997,533;957,983;34;997,52;867,795;29;997,483;978,672;36;997,52;984,325
102;36;997,483;991,984;29;997,52;969,981;25;997,508;986,068;26;997,49;970,771;30;997,499;964,486;35;997,483;858,926;34;997,525;984,716;25;997,52;972,816
103;28;997,52;993,256;33;997,52;971,756;35;997,52;982,038;24;997,52;966,694;34;997,52;967,382;36;997,52;859,88;22;997,538;976,582;28;997,483;977,008
104;20;997,52;987,477;35;997,52;972,946;23;997,52;981,984;16;997,518;962,016;42;997,52;957,108;42;997,52;863,766;32;997,52;988,253;30;997,52;979,04
105;24;997,52;994,382;39;997,52;980,65;26;997,52;979,678;26;997,52;972,623;28;997,52;952,409;38;997,52;860,751;28;997,52;977,852;31;999,535;969,549
106;28;997,52;984,587;35;999,535;976,191;26;999,535;976,388;32;999,535;952,459;37;997,53;968,839;35;999,535;879,547;25;999,535;989,893;22;999,535;977,887
107;20;999,535;994,094;31;999,535;981,41;23;999,535;983,902;24;999,535;958,936;36;999,535;968,382;39;999,535;871,637;40;999,535;981,436;27;999,535;987,825
108;22;999,535;996,893;35;999,535;969,672;35;999,535;989,876;18;999,535;944,477;35;999,535;967,206;48;999,535;860,832;23;999,535;987,494;24;999,535;974,269
109;20;999,535;988,585;27;999,535;976,778;25;999,55;988,093;22;999,535;950,444;39;999,535;967,096;34;999,535;868,38;39;999,535;971,677;34;999,535;979,273
110;35;999,55;996,457;34;999,535;986,947;22;999,535;988,185;21;999,535;973,108;38;999,535;967,881;40;999,535;842,636;25;999,535;974,635;25;999,535;980,614
111;32;999,535;979,924;29;999,535;966,549;23;999,535;977,493;24;999,55;959,441;38;999,535;963,849;46;999,535;878,139;27;999,565;984,816;21;999,535;974,711
112;28;999,535;992,225;28;999,535;974,013;41;999,556;987,041;22;999,535;974,006;49;999,547;960,355;26;999,535;847,792;23;999,55;983,018;23;999,535;979,258
113;24;999,535;987,553;33;999,535;980,135;20;999,535;977,872;24;999,536;960,846;43;999,547;958,691;41;999,535;865,915;23;999,556;977,477;32;999,54;980,729
114;22;999,556;989,474;39;999,547;977,779;22;999,547;986,567;25;999,535;974,539;34;999,547;971,987;35;999,547;839,477;34;999,56;983,762;29;999,547;977,408
115;16;999,535;988,939;31;999,547;971,653;27;999,524;983,49;20;999,547;960,617;44;999,547;967,461;41;999,547;855,099;33;999,589;990,714;28;999,547;980,755
116;32;1002,48;966,916;25;999,547;982,212;25;999,585;988,822;23;999,56;962,53;21;999,589;953,256;44;999,56;857,578;43;999,584;991,56;27;999,547;987,713
117;15;999,585;995,279;25;999,585;973,424;18;999,576;973,213;31;999,589;970,196;40;999,56;958,996;42;999,589;841,294;35;999,589;978,207;34;999,565;975,892
118;28;999,589;976,797;30;999,542;985,313;36;999,597;981,426;22;999,585;963,306;41;999,597;950,96;22;994,641;842,558;30;999,589;986,353;31;999,56;976,065
119;34;1002,51;987,547;25;999,589;983,838;31;999,612;978,148;20;999,585;957,344;38;999,589;963,823;36;999,589;859,714;22;999,589;992,063;34;999,589;980,439
120;21;999,612;983,112;36;999,597;979,162;34;999,612;986,946;24;999,589;965,538;41;1002,51;963,059;39;999,597;852,676;29;1004,54;994,067;16;999,589;975,941
121;24;1002,5;983,748;33;1004,51;981,401;18;999,647;988,14;24;1004,51;946,701;32;1004,51;963,897;42;1004,51;857,594;32;1004,54;980,623;35;1004,54;980,512
122;27;1004,51;995,887;23;1004,51;974,088;32;1004,54;983,35;14;1004,51;962,093;47;1004,54;964,241;39;1004,51;864,085;37;1004,59;990,063;21;1004,59;971,838
123;17;1004,57;989,627;27;1004,57;985,829;33;1004,57;981,747;32;1004,51;958,15;37;1004,57;973,084;24;1004,51;853,304;38;1004,57;984,145;32;1004,57;981,955
124;27;1004,51;994,775;29;1004,59;985,03;30;1004,56;982,02;23;1004,57;963,143;42;1004,57;959,949;35;1004,57;883,497;23;1004,57;995,459;31;1004,57;988,122
125;27;1004,57;995,634;35;1004,59;990,115;37;1004,62;988,808;21;1004,59;975,824;40;1004,57;969,82;28;1004,59;860,463;26;1004,57;995,603;26;1004,57;988,698
126;19;1004,59;991,362;30;1004,57;989,215;32;1004,59;996,202;25;1004,59;981,942;38;1004,59;967,063;33;1004,59;894,034;41;1005,52;984,871;22;1004,57;991,414
127;23;1006,59;1002,23;26;1004,59;987,482;31;1004,59;987,888;24;1004,59;983,09;42;1004,59;978,186;39;1004,59;855,961;24;1004,59;994,732;31;1005,44;994,516
128;29;1005,44;997,461;35;1004,59;979,901;25;1004,62;982,225;31;1004,59;970,419;23;1006,59;966,865;37;1004,59;875,768;36;1006,52;989,944;24;1006,53;983,87
129;30;1006,53;1000,39;40;1005,44;970,345;30;1005,44;991,603;28;1004,59;964,108;31;1006,52;967,935;37;1005,44;834,938;25;1005,44;990,439;19;1004,59;985,639
130;19;1004,59;965,557;26;1004,59;977,328;22;1004,59;978,35;27;1005,44;971,73;36;1004,59;970,172;44;1006,53;856,91;30;1004,59;986,417;36;1004,59;976,355
131;27;1004,59;975,686;36;1004,59;984,548;21;1004,59;982,463;18;1004,59;967,464;37;1004,59;962,686;39;1004,59;892,691;27;1004,59;993,521;35;1005,44;981,97
132;21;1004,59;994,827;36;1004,59;988,034;34;1004,61;987,084;35;1004,59;967,224;37;1004,59;974,226;27;1004,59;856,515;29;1005,61;992,872;21;1004,59;991,924
133;29;1005,4;994,607;22;1004,59;982,331;29;1004,59;985,383;27;1004,61;964,951;36;1004,59;966,846;31;1004,59;860,816;30;1004,61;996,654;36;1004,59;979,545
134;27;1004,59;995,363;27;1004,59;985,697;30;1004,62;988,339;22;1004,61;974,625;38;1004,59;956,784;29;1004,59;840,82;41;1011,48;993,816;26;1004,59;988,864
135;29;1004,61;1000,78;19;1004,59;979,223;25;1004,59;982,865;29;1004,59;975,531;41;1011,48;969,986;39;1004,59;856,132;32;1005,48;985,791;26;1004,61;993,736
136;16;1005,48;1002,33;36;1005,48;971,075;25;1004,61;983,251;21;1004,59;979,767;47;1005,48;980,274;32;1004,59;861,094;33;1009,47;984,695;30;1005,48;984,876
137;39;1007,75;995,056;36;1005,48;984,72;18;1004,59;986,27;26;1004,61;978,426;37;1005,48;967,419;36;1005,48;877,166;28;1005,48;985,137;20;1005,48;990,714
138;28;1007,75;1001,84;23;1007,75;991,038;28;1007,75;985,606;30;1007,75;961,497;31;1007,75;962,203;26;1005,48;859,603;37;1011,49;992,741;37;1008,58;993,981
139;24;1009,53;994,214;35;1011,49;988,515;24;1008,58;987,027;25;1011,51;948,83;35;1011,49;975,727;33;1011,49;847,282;34;1011,56;986,856;30;1007,75;990,424
140;31;1011,49;984,696;29;1008,58;968,004;36;1011,49;987,273;23;1011,56;971,609;32;1011,52;969,444;33;1011,56;866,86;31;1011,56;987,089;25;1007,76;986,163
141;32;1013,61;998,586;29;1011,56;980,404;31;1011,56;978,49;25;1011,51;974,201;29;1011,51;967,387;30;1011,52;832,113;33;1011,56;992,285;31;1011,49;992,089
142;28;1013,61;991,45;33;1011,56;989,635;20;1011,56;981,547;36;1011,56;963,37;31;1013,61;964,254;30;1011,56;860,296;26;1013,61;992,815;36;1011,49;974,954
143;19;1011,56;1002,05;36;1011,52;977,382;29;1011,52;997,602;26;1011,56;973,062;42;1011,56;969,33;34;1011,52;882,96;26;1008,58;988,183;28;1011,52;986,8
144;31;1013,61;998,945;33;1011,56;988,904;21;1011,52;993,458;32;1011,56;972,046;34;1011,58;966,727;35;1011,56;873,639;31;1011,56;996,809;23;1011,56;994,355
145;32;1013,61;1007,55;22;1011,56;986,657;28;1013,61;1001,2;20;1013,61;967,938;38;1011,56;977,472;39;1013,61;837,841;34;1011,54;992,443;27;1013,61;992,714
146;20;1013,46;1005,92;42;1011,56;975,27;29;1013,6;987,844;26;1011,58;964,668;41;1013,61;961,881;23;1013,61;881,044;33;1013,61;987,616;26;1013,61;988,778
147;28;1013,64;1005,09;43;1013,61;989,296;27;1013,61;979,132;28;1013,61;962,841;34;1013,61;971,249;33;1013,61;881,581;25;1013,61;999,322;22;1013,61;993,534
148;24;1013,61;1007,17;28;1013,64;986,714;27;1013,62;988,392;33;1013,61;968,216;31;1013,61;966,762;44;1013,61;844,281;27;1013,61;988,681;26;1013,61;996,003
149;24;1013,61;985,743;31;1013,62;978,805;28;1013,65;997,527;29;1013,61;963,47;38;1013,64;964,361;35;1013,61;860,92;26;1013,64;990,583;29;1013,62;980,611
150;18;1013,64;1006,6;36;1013,64;973,154;24;1013,65;986,717;27;1013,61;985,007;39;1013,64;975,057;36;1013,62;881,711;29;1013,64;993,437;31;1013,62;987,715
151;26;1013,64;999,999;28;1013,64;983,717;28;1013,64;995,009;32;1013,65;973,83;37;1013,65;969,368;34;1013,64;874,042;35;1013,65;989,091;20;1013,64;991,871
152;26;1013,64;992,496;38;1013,64;987,724;29;1013,65;991,865;21;1013,64;964,768;35;1013,65;983,746;36;1013,64;874,736;31;1013,66;995,383;24;1013,64;989,936
153;30;1013,65;1005,77;33;1013,65;984,549;23;1013,65;1006,03;30;1013,65;977,848;32;1013,64;971,015;25;1013,64;867,629;33;1013,68;995,124;34;1013,64;979,795
154;30;1013,65;1001,23;33;1013,65;995,847;26;1013,68;991,935;17;1013,64;966,015;32;1013,65;970,567;36;1013,65;862,098;35;1013,65;1000,39;31;1013,65;988,943
155;20;1013,65;996,92;34;1013,65;990,825;33;1013,65;990,096;29;1013,65;973,346;32;1013,65;976,248;39;1013,65;876,491;30;1019,48;986,144;23;1013,65;986,671
156;22;1013,65;996,54;37;1013,65;989,923;19;1013,65;1000,89;30;1013,65;968,273;31;1013,65;984,166;47;1013,65;867,505;27;1013,65;990,294;27;1013,65;989,751
157;28;1013,65;990,003;41;1013,65;995,639;23;1013,65;991,303;26;1013,65;976,256;36;1013,65;977,757;30;1013,65;893,355;33;1013,65;986,292;23;1013,65;997,507
158;30;1013,65;1006,75;33;1013,65;982,85;25;1013,65;994,529;28;1013,65;969,181;32;1013,65;971,289;38;1013,65;869,901;21;1013,65;1000,43;33;1013,65;993,464
159;26;1013,65;1007,71;35;1013,65;980,528;21;1013,65;993,172;20;1013,65;981,167;39;1013,65;979,165;41;1013,65;844,662;33;1013,69;998,947;25;1013,65;984,56
160;17;1013,67;1008,11;30;1013,69;987,864;23;1013,68;991,37;33;1013,65;969,379;34;1013,69;971,253;24;1013,69;887,212;44;1013,67;991,407;35;1013,69;986,303
161;19;1013,67;1006,54;36;1013,67;991,81;23;1013,69;993,429;32;1013,69;979,695;31;1013,68;970,666;31;1013,65;868,726;37;1013,69;993,683;31;1015,63;996,402
162;27;1013,67;1003,94;30;1013,69;982,058;18;1013,69;993,115;31;1013,69;985,023;33;1013,69;967,241;31;1013,69;857,925;41;1015,63;994,847;29;1013,69;996,976
