iteration,exchange,exchangeRandom,inversion,swap,add,addRandomly,shift,change
100,17,23,13,18,18,23,26,262
101,18,22,11,12,8,21,23,285
102,22,11,14,15,16,25,11,286
103,27,13,64,17,14,20,27,218
104,20,25,63,10,12,16,23,231
105,11,29,55,16,8,23,13,245
106,15,19,39,11,11,27,21,257
107,19,16,32,14,15,28,25,251
108,17,17,33,17,92,13,21,190
109,11,21,26,23,67,17,28,207
110,13,21,27,25,113,17,20,164
111,18,17,26,29,162,15,20,113
112,24,17,26,19,188,10,18,98
113,17,24,19,26,138,12,27,137
114,16,20,29,15,121,17,16,166
115,12,14,18,18,87,22,26,203
116,16,19,9,23,77,18,23,215
117,13,20,17,16,63,19,11,241
118,10,12,12,20,49,23,19,255
119,17,18,19,12,39,19,13,263
120,27,16,12,16,36,23,17,253
121,18,96,19,20,24,20,17,186
122,18,69,17,20,22,19,23,212
123,24,48,10,29,21,10,27,231
124,20,58,15,17,25,11,16,238
125,19,36,14,18,15,17,21,260
126,17,36,19,18,14,24,21,251
127,11,29,16,23,11,18,20,272
128,23,19,15,14,11,12,16,290
129,18,34,18,24,17,20,17,252
130,20,18,17,20,12,17,16,280
131,17,19,21,14,12,28,15,274
132,10,24,16,16,21,8,11,294
133,20,18,19,33,13,18,16,263
134,19,25,16,19,21,11,13,276
135,19,15,17,15,21,16,11,286
136,26,12,20,21,19,13,17,272
137,20,15,10,20,24,17,20,274
138,19,19,12,18,18,20,15,279
139,21,19,16,19,16,15,13,281
140,21,19,19,19,25,27,18,252
141,25,21,14,74,15,21,17,213
142,20,15,14,65,20,26,13,227
143,29,22,16,47,17,27,11,231
144,16,11,13,50,17,23,22,248
145,16,20,17,27,19,23,24,254
146,12,17,16,34,19,15,12,275
147,16,14,21,27,27,19,19,257
148,13,25,14,24,23,18,13,270
149,12,13,17,24,24,12,22,276
150,22,21,25,23,16,17,14,262
151,16,16,83,32,17,20,12,204
152,13,15,65,23,14,11,22,237
153,17,11,58,26,9,27,24,228
154,21,14,111,22,16,20,28,168
155,14,20,94,30,16,11,20,195
156,19,18,67,16,14,17,26,223
157,15,20,74,13,11,16,17,234
158,20,17,39,14,18,29,24,239
159,19,7,39,21,16,28,19,251
160,15,22,26,28,13,25,20,251
161,15,7,31,11,18,23,22,273
162,16,23,29,24,11,23,18,256
163,23,20,26,80,15,20,17,199
164,18,18,97,70,15,24,13,145
165,25,23,66,53,17,16,14,186
166,25,16,49,43,13,21,22,211
167,24,31,49,28,11,14,24,219
168,16,12,56,28,17,22,15,234
169,21,17,34,21,14,25,10,258
170,16,19,22,30,20,12,15,266
171,27,21,27,20,13,19,20,253
172,11,16,21,19,19,11,26,277
173,26,15,24,15,10,13,30,267
174,15,19,13,27,17,24,23,262
175,16,15,18,21,18,20,24,268
176,18,14,19,23,11,17,30,268
177,77,19,23,12,17,12,23,217
178,77,14,17,21,16,15,22,218
179,56,18,27,15,12,10,15,247
180,120,15,22,22,14,17,16,174
181,90,19,18,23,10,14,15,211
182,77,14,22,16,17,20,17,217
183,46,8,11,22,17,12,20,264
184,47,17,15,19,20,11,25,246
185,36,18,16,23,18,16,18,255
186,31,21,24,11,13,18,19,263
187,19,25,17,19,18,16,11,275
188,24,20,27,16,19,11,18,265
189,20,26,24,19,18,19,19,255
190,20,22,25,23,22,16,9,263
191,20,32,17,12,22,22,27,248
192,15,27,21,19,14,13,27,264
193,17,18,13,22,22,19,12,277
194,26,15,16,15,15,10,9,294
195,12,16,20,13,29,12,18,280
196,15,24,16,19,22,23,13,268
197,13,16,20,22,17,19,15,278
198,14,17,16,18,13,19,29,274
199,13,24,18,21,18,17,18,271
200,14,21,7,19,22,14,21,282
201,20,25,10,17,20,19,22,267
202,10,16,13,18,15,19,25,284
203,11,28,10,18,15,16,28,274
204,17,18,19,18,20,72,20,216
205,9,12,21,29,15,65,29,220
206,9,15,24,15,28,116,25,168
207,16,23,24,22,20,98,21,176
208,12,29,18,15,13,70,22,221
209,12,24,16,24,12,71,16,225
210,21,23,12,22,18,52,11,241
211,23,17,18,26,17,35,16,248
212,30,14,19,19,20,31,90,177
213,24,22,10,21,22,25,135,141
214,20,24,12,16,24,30,84,190
215,24,15,11,14,21,21,97,197
216,12,18,18,17,16,21,72,226
217,24,14,17,25,102,19,47,152
218,20,16,21,22,65,23,48,185
219,23,15,82,13,45,26,43,153
220,20,17,68,11,43,27,109,105
221,24,15,45,21,49,15,132,99
222,18,23,41,16,33,21,116,132
223,25,15,22,18,103,17,102,98
224,16,19,40,17,76,21,61,150
225,21,25,81,12,66,15,60,120
226,17,15,160,15,59,16,36,82
227,22,20,168,17,39,20,39,75
228,23,18,139,14,31,17,41,117
229,70,14,133,21,27,13,30,92
230,77,11,171,11,36,17,19,58
231,60,21,112,20,94,18,18,57
232,43,30,70,23,153,22,15,44
233,38,11,69,25,126,18,20,93
234,31,24,123,24,92,14,15,77
235,103,13,106,18,62,12,22,64
236,68,16,161,24,48,24,14,45
237,58,6,120,25,44,14,29,104
238,53,16,96,17,25,11,17,165
239,35,18,66,15,32,14,12,208
240,31,22,130,12,34,20,10,141
241,29,11,107,13,26,90,20,104
242,26,18,88,15,26,143,12,72
243,32,19,124,15,17,115,13,65
244,20,17,97,21,21,147,22,55
245,22,12,148,22,21,106,24,45
246,20,17,180,16,22,91,23,31
247,25,11,202,28,18,64,16,36
248,20,8,221,19,23,61,21,27
249,18,15,248,17,15,43,22,22
250,14,12,259,11,15,48,22,19
251,9,16,259,20,13,39,23,21
252,8,27,252,13,13,41,27,19
253,20,11,270,16,16,30,10,27
254,23,19,266,10,19,24,17,22
255,13,15,265,25,19,29,19,15
256,18,19,276,13,16,20,15,23
257,22,17,256,12,16,27,29,21
258,21,18,280,13,21,20,10,17
259,26,6,294,14,10,23,17,10
260,34,16,262,13,15,20,26,14
261,21,26,273,12,17,22,17,12
262,22,12,264,25,20,21,20,16
263,16,13,283,17,13,23,26,9
264,19,11,288,27,12,10,23,10
265,32,14,264,16,21,20,20,13
266,29,18,281,8,15,12,21,16
267,16,29,275,11,18,11,22,18
268,16,15,267,16,22,22,25,17
269,18,22,277,8,16,12,21,26
270,25,21,259,9,27,11,24,24
271,16,16,285,9,21,19,17,17
272,15,18,285,10,26,12,14,20
273,23,22,263,14,23,15,20,20
274,20,11,294,12,17,17,17,12
275,19,18,274,13,25,17,17,17
276,16,19,271,24,24,18,17,11
277,17,11,280,14,26,13,28,11
278,9,20,270,12,20,19,26,24
279,7,17,282,12,29,11,26,16
280,10,19,278,16,23,11,22,21
281,14,17,274,23,24,18,16,14
282,13,16,276,28,16,13,15,23
283,14,14,279,15,20,18,26,14
284,16,18,289,14,18,16,7,22
285,21,20,268,16,26,15,22,12
286,18,13,286,16,17,18,19,13
287,18,14,270,23,23,15,22,15
288,15,19,274,29,14,17,16,16
289,30,11,264,21,23,15,19,17
290,17,15,282,19,17,21,14,15
291,16,23,277,21,14,20,12,17
292,15,13,280,28,13,23,13,15
293,19,21,292,24,16,12,9,7
294,23,14,284,12,19,15,22,11
295,11,17,275,14,22,18,22,21
296,20,15,270,20,18,26,16,15
297,94,14,196,14,35,15,16,16
298,77,16,216,18,26,19,19,9
299,59,16,235,17,18,23,15,17
300,51,17,248,14,28,12,12,18
301,27,20,260,19,21,16,17,20
302,29,12,268,23,17,19,15,17
303,23,21,259,22,22,20,13,20
304,17,18,273,26,17,24,7,18
305,21,15,267,23,17,16,19,22
306,19,12,195,27,91,19,21,16
307,20,20,217,26,67,16,13,21
308,17,22,229,24,60,11,17,20
309,22,18,188,18,111,11,23,9
310,27,20,203,13,85,10,17,25
311,10,19,221,18,79,14,16,23
312,18,18,225,24,54,18,22,21
313,25,19,227,18,38,24,31,18
314,17,17,240,20,35,28,23,20
315,25,13,264,22,24,16,17,19
316,10,18,269,15,32,22,21,13
317,16,15,265,19,30,13,21,21
318,22,19,253,20,28,19,21,18
319,22,16,275,22,17,13,15,20
320,14,11,213,22,14,10,21,95
321,23,17,148,12,17,12,22,149
322,29,18,191,20,22,12,15,93
323,23,17,223,27,11,14,9,76
324,20,16,227,29,16,6,16,70
325,19,21,246,14,14,19,13,54
326,22,15,167,20,20,9,23,124
327,17,21,193,23,12,18,24,92
328,21,17,239,19,10,17,14,63
329,25,18,171,21,23,16,12,114
330,14,10,135,26,15,15,12,173
331,15,19,164,24,12,17,10,139
332,19,18,122,20,16,15,18,172
333,16,28,86,17,17,18,23,195
334,22,22,141,18,10,21,14,152
335,20,25,104,22,17,18,15,179
336,18,22,86,15,24,11,11,213
337,23,16,130,14,25,17,12,163
338,16,15,177,17,23,21,19,112
339,16,21,209,17,19,18,19,81
340,17,22,212,17,22,20,25,65
341,19,20,244,11,14,19,14,59
342,21,24,165,12,19,23,94,42
343,21,18,204,23,15,15,70,34
344,20,17,235,13,13,15,55,32
345,17,15,247,25,22,21,37,16
346,11,16,249,18,17,21,45,23
347,18,9,186,12,99,22,41,13
348,14,11,206,19,76,17,38,19
349,14,12,164,17,66,16,94,17
350,17,23,132,23,32,13,139,21
351,26,18,87,17,44,19,107,82
352,16,20,58,18,34,14,94,146
353,17,14,47,18,25,14,76,189
354,21,15,42,21,32,21,41,207
355,12,10,54,14,40,13,41,216
356,27,13,31,10,19,23,38,239
357,20,17,36,10,24,14,26,253
358,20,17,29,9,27,29,33,236
359,18,12,27,19,14,20,22,268
360,21,10,27,18,7,23,20,274
361,19,13,25,11,14,21,28,269
362,27,17,24,11,17,17,15,272
363,17,15,20,18,14,11,17,288
364,18,8,22,21,13,11,22,285
365,16,15,32,28,19,13,20,257
366,15,11,33,21,18,15,15,272
367,16,16,10,14,18,17,27,282
368,18,17,23,16,19,17,17,273
369,20,12,16,25,10,8,28,281
370,10,21,28,11,15,13,30,272
371,16,14,22,15,19,16,23,275
372,12,15,19,17,14,11,22,290
373,25,24,21,11,25,10,19,265
374,15,19,18,18,26,12,17,275
375,24,20,16,16,19,21,15,269
376,22,20,14,22,23,17,16,266
377,26,27,15,14,17,13,20,268
378,22,23,22,13,15,14,16,275
379,21,21,21,11,21,19,20,266
380,23,13,15,22,18,23,16,270
381,20,15,23,12,14,21,16,279
382,18,22,27,8,19,18,16,272
383,12,19,24,22,16,19,12,276
384,13,21,21,15,16,17,28,269
385,8,13,26,14,22,13,18,286
386,10,23,8,20,13,20,22,284
387,13,19,10,14,26,17,17,284
388,15,25,16,9,14,19,19,283
389,6,34,20,12,23,15,21,269
390,9,22,28,12,19,12,25,273
391,15,28,23,13,12,11,23,275
392,20,31,16,14,17,7,25,270
393,26,24,12,9,11,9,19,290
394,16,9,12,12,20,19,23,289
395,16,22,20,17,9,11,17,288
396,18,10,20,18,14,21,18,281
397,9,23,22,22,17,13,26,268
398,13,12,15,23,19,15,20,283
399,16,15,21,7,12,15,25,289
400,18,21,21,11,26,18,18,267
401,13,23,22,15,11,13,24,279
402,22,24,20,23,15,17,16,263
403,22,11,21,21,14,25,14,272
404,17,14,18,23,15,20,22,271
405,20,23,19,11,16,23,8,280
406,22,13,19,19,15,25,26,261
407,17,21,31,14,14,20,20,263
408,12,19,33,14,15,25,21,261
409,14,21,22,20,15,11,21,276
410,19,17,20,21,7,25,17,274
411,15,20,17,17,23,19,24,265
412,17,22,18,22,17,17,26,261
413,20,15,16,11,12,9,20,297
414,19,23,20,19,12,18,23,266
415,20,18,21,11,11,15,24,280
416,17,27,22,14,19,13,26,262
417,22,28,19,18,12,13,15,273
418,22,20,17,20,14,15,21,271
419,25,16,16,96,12,14,14,207
420,19,21,24,67,26,13,17,213
421,31,16,9,64,10,18,15,237
422,25,15,19,36,19,20,18,248
423,18,26,17,37,17,19,12,254
424,18,25,27,23,15,17,15,260
425,21,23,25,24,15,21,19,252
426,20,18,21,16,15,19,19,272
427,19,20,14,25,13,16,9,284
428,23,13,16,29,25,13,19,262
429,23,15,13,18,29,18,20,264
430,28,17,17,16,19,20,14,269
431,25,15,17,18,19,13,15,278
432,16,19,19,17,17,17,15,280
433,16,12,12,17,12,19,17,295
434,9,14,16,18,17,20,24,282
435,18,14,15,17,18,12,23,283
436,16,10,27,17,20,14,20,276
437,20,15,18,17,18,12,17,283
438,18,22,22,15,16,7,18,282
439,21,21,21,12,15,16,15,279
440,18,17,20,14,19,13,16,283
441,24,14,19,14,23,21,17,268
442,12,15,11,22,18,24,15,283
443,19,24,12,15,27,26,15,262
444,17,22,17,12,22,22,20,268
445,16,13,12,19,19,15,22,284
446,19,19,15,12,19,25,12,279
447,19,19,21,9,15,23,27,267
448,24,19,11,15,9,17,16,289
449,17,23,32,11,15,13,25,264
450,27,18,14,20,22,12,21,266
451,20,12,30,9,20,23,15,271
452,21,16,19,11,14,25,15,279
453,16,22,17,11,12,21,24,277
454,22,17,15,25,14,18,24,265
455,11,15,21,13,16,29,15,280
456,14,18,18,18,20,22,23,267
457,17,19,15,10,9,26,22,282
458,10,15,21,12,18,19,16,289
459,14,15,22,23,17,28,10,271
460,14,23,10,14,10,25,11,293
461,20,12,17,10,13,29,20,279
462,25,14,19,25,8,17,17,275
463,23,9,18,17,15,19,13,286
464,16,9,22,18,17,15,14,289
465,16,15,23,101,14,16,18,197
466,21,13,23,67,15,17,9,235
467,24,16,20,69,17,16,9,229
468,22,18,16,34,16,19,10,265
469,24,22,14,46,9,22,13,250
470,20,20,18,27,19,17,20,259
471,25,15,25,33,17,12,17,256
472,20,22,18,33,19,14,17,257
473,13,18,14,31,16,17,24,267
474,13,24,14,27,13,16,17,276
475,26,17,11,20,14,20,20,272
476,19,16,21,25,20,17,18,264
477,13,19,20,20,15,18,14,281
478,23,17,20,23,17,16,24,260
479,16,17,10,103,26,21,11,196
480,13,22,19,149,21,23,14,139
481,19,10,15,177,21,17,15,126
482,20,16,21,188,16,23,23,93
483,20,16,23,237,15,21,14,54
484,17,18,13,237,20,22,18,55
485,15,10,15,264,14,24,20,38
486,19,18,20,255,24,13,15,36
487,21,14,17,270,20,17,15,26
488,17,23,13,263,15,21,25,23
489,8,11,29,260,24,15,21,32
490,16,10,22,282,10,21,14,25
491,19,22,19,260,26,15,24,15
492,19,22,14,272,13,16,17,27
493,12,29,16,273,18,8,24,20
494,6,19,15,286,21,14,18,21
495,12,20,16,268,22,21,23,18
496,16,20,18,267,20,16,19,24
497,14,22,11,284,17,14,20,18
498,13,24,20,264,12,14,23,30
499,12,17,27,265,15,13,27,24
500,12,17,17,278,11,19,24,22
501,20,10,19,279,16,29,12,15
502,10,18,12,283,21,20,18,18
503,19,18,23,191,14,18,19,98
504,17,19,13,220,13,26,22,70
505,22,25,20,221,25,15,18,54
506,22,22,14,254,17,24,14,33
507,13,19,13,281,16,16,15,27
508,16,12,15,275,21,20,14,27
509,9,19,27,264,19,14,16,32
510,16,19,18,267,24,11,21,24
511,20,18,15,265,21,26,18,17
512,24,17,16,268,11,14,27,23
513,16,19,20,270,16,21,20,18
514,17,15,21,276,10,20,21,20
515,21,16,17,269,18,19,20,20
516,17,26,21,270,17,15,17,17
517,14,35,18,263,18,18,14,20
518,18,24,20,260,18,15,26,19
519,14,25,22,255,16,17,24,27
520,12,18,16,272,16,24,17,25
521,18,25,31,254,13,26,16,17
522,12,22,9,292,14,18,20,13
523,15,16,21,263,14,24,24,23
524,27,15,16,284,12,16,18,12
525,18,30,24,259,18,19,16,16
526,11,28,25,245,21,22,18,30
527,18,20,20,271,20,13,20,18
528,12,13,27,273,16,27,17,15
529,22,13,13,287,18,12,19,16
530,21,15,16,281,15,21,16,15
531,29,28,15,259,27,13,11,18
532,26,12,14,263,26,21,12,26
533,25,25,17,271,9,15,18,20
534,16,15,11,285,16,16,20,21
535,13,16,14,278,16,20,19,24
536,15,17,10,271,16,23,10,38
537,18,17,15,277,17,13,16,27
538,24,26,13,270,14,17,18,18
539,13,21,15,278,18,18,18,19
540,10,18,25,278,12,18,18,21
541,19,13,15,280,20,16,17,20
542,17,8,13,281,24,20,17,20
543,14,13,18,283,16,17,19,20
544,16,19,10,289,30,19,8,9
545,10,17,16,282,20,19,17,19
546,11,16,13,297,24,17,11,11
547,26,17,21,256,30,24,12,14
548,26,14,21,258,31,23,12,15
549,17,18,18,261,41,22,10,13
550,16,16,9,279,29,26,17,8
551,15,19,14,293,17,18,16,8
552,8,17,9,285,25,20,20,16
553,23,19,16,262,22,19,22,17
554,18,19,16,276,16,18,18,19
555,22,8,19,279,13,24,18,17
556,13,19,15,291,9,19,16,18
557,19,20,10,281,11,20,21,18
558,18,25,23,268,12,11,20,23
559,21,23,17,265,15,14,31,14
560,15,19,10,275,22,18,19,22
561,22,29,17,266,24,11,14,17
562,26,13,25,261,17,13,20,25
563,22,22,15,262,7,23,26,23
564,17,20,23,267,11,25,16,21
565,17,8,14,285,14,19,21,22
566,16,18,11,279,13,18,22,23
567,25,14,19,277,16,14,17,18
568,20,13,17,280,12,26,15,17
569,25,25,17,265,17,24,14,13
570,24,18,12,259,19,28,18,22
571,20,23,16,260,26,23,17,15
572,13,20,11,281,24,18,13,20
573,16,22,16,276,16,22,19,13
574,21,13,18,289,20,16,12,11
575,18,15,16,262,29,20,16,24
576,19,16,23,269,24,16,18,15
577,17,24,14,288,24,8,15,10
578,23,19,19,262,13,23,24,17
579,10,24,14,274,18,22,19,19
580,18,18,20,275,19,14,15,21
581,17,17,16,277,16,23,10,24
582,21,11,19,268,20,14,14,33
583,15,9,24,266,22,16,21,27
584,18,16,23,275,22,12,19,15
585,13,15,29,279,21,10,12,21
586,14,20,31,275,12,10,24,14
587,13,15,20,292,16,18,13,13
588,16,19,23,267,28,13,19,15
589,21,17,15,278,25,18,11,15
590,15,23,28,276,16,13,14,15
591,15,19,18,282,18,12,27,9
592,27,21,14,274,17,13,16,18
593,20,21,18,273,15,6,27,20
594,23,11,23,276,15,17,19,16
595,24,14,15,281,24,13,18,11
596,20,20,22,266,18,21,16,17
597,21,12,21,272,20,18,17,19
598,21,9,19,290,16,9,14,22
599,14,9,20,293,15,17,11,21
600,20,14,20,272,11,22,22,19
601,21,12,14,287,23,10,16,17
602,21,17,25,261,22,17,17,20
603,11,17,20,282,22,10,19,19
604,12,27,25,261,15,18,16,26
605,16,15,14,289,13,11,20,22
606,10,11,16,279,16,28,19,21
607,22,16,8,287,13,19,14,21
608,16,18,16,283,17,10,26,14
609,29,16,15,268,16,10,30,16
610,16,12,16,278,11,16,18,33
611,16,18,13,279,16,24,25,9
612,22,15,10,270,19,13,32,19
613,10,21,15,282,18,6,28,20
614,12,12,27,285,22,13,13,16
615,12,13,14,297,23,11,17,13
616,26,16,13,267,23,19,19,17
617,14,12,22,266,13,31,23,19
618,15,23,21,266,18,23,17,17
619,17,15,24,273,17,19,18,17
620,16,18,22,276,16,15,19,18
621,15,18,18,248,24,29,27,21
622,19,17,27,274,14,12,24,13
623,10,25,18,270,14,23,28,12
624,18,15,11,273,25,20,17,21
625,11,12,20,271,25,14,25,22
626,20,18,16,185,33,89,18,21
627,15,16,14,149,26,149,16,15
628,23,22,15,115,19,167,14,25
629,19,12,27,147,24,145,11,15
630,12,22,30,114,16,165,18,23
631,13,14,17,104,15,129,17,91
632,18,13,22,78,15,160,16,78
633,16,15,22,127,23,130,18,49
634,19,12,17,152,17,108,21,54
635,19,13,17,202,14,75,19,41
636,15,9,31,215,20,61,22,27
637,21,19,22,242,12,48,14,22
638,24,17,10,251,12,47,15,24
639,36,12,18,247,16,32,23,16
640,25,13,14,267,16,18,22,25
641,24,17,22,247,20,31,13,26
642,18,14,15,271,21,26,26,9
643,23,16,15,256,26,23,17,24
644,17,18,18,276,15,20,22,14
645,29,16,17,267,12,26,17,16
646,24,12,16,281,19,18,18,12
647,22,16,15,277,18,20,22,10
648,17,8,11,291,21,18,12,22
649,14,11,17,277,19,24,19,19
650,19,18,17,287,18,16,12,13
651,14,13,20,280,18,16,12,27
652,7,18,9,282,26,21,16,21
653,9,20,11,274,23,17,14,32
654,8,16,10,272,38,17,19,20
655,7,16,12,263,29,26,21,26
656,13,24,17,266,22,13,24,21
657,11,19,20,280,27,20,11,12
658,11,17,26,272,14,17,18,25
659,14,13,20,279,10,24,17,23
660,22,22,23,263,15,15,21,19
661,13,11,24,277,8,19,20,28
662,19,14,19,280,14,21,12,21
663,7,15,14,296,13,21,20,14
664,17,8,16,269,22,17,28,23
665,20,13,11,276,18,21,18,23
666,30,18,16,282,17,13,12,12
667,18,13,16,278,18,13,24,20
668,28,21,23,269,19,15,9,16
669,24,20,18,258,34,11,19,16
670,22,25,5,269,22,19,16,22
671,22,24,19,248,20,17,21,29
672,26,15,20,266,14,15,21,23
673,21,20,22,288,9,9,10,21
674,15,21,21,280,8,24,14,17
675,16,15,23,281,16,14,19,16
676,19,16,23,279,9,23,19,12
677,31,15,25,267,12,16,19,15
678,24,14,17,276,17,14,17,21
679,13,16,27,277,17,17,20,13
680,13,17,29,280,14,20,10,17
681,18,25,21,250,23,21,19,23
682,18,25,21,281,8,16,12,19
683,13,17,24,269,25,20,16,16
684,19,23,17,271,18,19,22,11
685,19,21,20,277,14,21,13,15
686,22,13,16,285,14,28,11,11
687,18,15,15,283,16,20,14,19
688,19,18,16,291,9,19,9,19
689,18,11,9,294,14,22,11,21
690,13,11,11,298,15,12,14,26
691,24,17,12,287,15,14,16,15
692,15,17,15,267,20,15,21,30
693,13,18,22,278,11,27,13,18
694,19,20,13,287,17,13,11,20
695,19,14,17,272,17,25,13,23
696,24,25,28,266,13,22,16,6
697,12,16,22,278,20,21,18,13
698,19,25,15,268,20,16,14,23
699,22,13,26,266,11,26,16,20
700,16,16,24,283,18,14,8,21
701,10,15,25,269,17,24,22,18
702,8,14,14,280,22,27,16,19
703,17,21,16,281,14,19,19,13
704,26,13,15,275,17,24,21,9
705,17,16,18,280,15,20,21,13
706,19,17,19,279,9,21,17,19
707,25,22,13,278,18,11,18,15
708,21,13,23,284,13,8,22,16
709,23,8,20,284,11,12,15,27
710,14,20,19,282,5,21,26,13
711,20,24,23,273,17,10,19,14
712,14,16,20,275,17,16,26,16
713,12,22,19,275,23,19,18,12
714,18,23,17,255,16,20,20,31
715,13,21,22,195,94,15,25,15
716,16,18,23,218,75,23,16,11
717,16,14,19,251,54,16,24,6
718,23,17,12,252,46,19,14,17
719,19,19,23,257,27,20,21,14
720,20,15,19,267,31,23,13,12
721,22,13,25,270,24,13,18,15
722,9,12,27,251,34,20,26,21
723,18,16,9,266,31,18,20,22
724,18,23,25,260,25,12,21,16
725,19,20,22,272,25,10,20,12
726,14,27,19,265,21,14,32,8
727,18,14,17,267,21,26,25,12
728,14,21,15,282,21,16,15,16
729,17,14,22,270,22,22,16,17
730,20,12,25,272,19,18,16,18
731,22,10,29,273,18,22,13,13
732,16,11,22,281,19,20,16,15
733,23,12,27,281,6,21,18,12
734,24,12,16,283,15,25,14,11
735,17,18,8,278,21,17,25,16
736,20,23,12,292,8,15,18,12
737,23,22,25,282,12,12,10,14
738,27,14,17,273,17,17,14,21
739,29,15,14,274,16,12,12,28
740,21,9,15,281,20,11,21,22
741,22,7,7,285,30,13,15,21
742,15,16,24,279,16,16,23,11
743,24,16,22,266,14,13,18,27
744,16,13,21,211,18,23,20,78
745,29,15,91,140,25,13,15,72
746,17,19,55,207,17,12,23,50
747,16,11,61,204,21,23,25,39
748,18,17,44,225,32,21,18,25
749,11,24,34,245,29,17,18,22
750,15,20,38,253,14,28,16,16
751,13,20,31,258,12,37,13,16
752,12,16,26,269,20,20,22,15
753,10,15,26,263,25,13,27,21
754,8,16,17,275,26,24,22,12
755,13,24,26,264,23,11,21,18
756,13,14,20,263,24,15,28,23
757,12,19,13,297,12,11,17,19
758,10,27,18,263,24,18,18,22
759,18,18,20,253,22,24,22,23
760,19,12,26,268,17,21,17,20
761,23,23,20,261,14,13,29,17
762,23,22,19,180,93,17,25,21
763,19,17,15,235,64,22,20,8
764,18,23,22,234,51,23,20,9
765,19,28,16,244,41,19,17,16
766,16,20,14,261,38,11,27,13
767,22,18,17,266,33,13,14,17
768,23,23,12,273,16,17,21,15
769,22,23,10,255,29,26,16,19
770,13,31,17,268,16,25,21,9
771,25,20,24,260,14,20,15,22
772,15,17,30,267,17,16,20,18
