iteration,exchangeRandom,inversion,swap,scramble,addRandomly,shift
154,13,7,7,19,361,13
155,9,5,11,20,360,15
156,13,8,10,19,360,10
157,11,14,22,15,350,8
158,10,10,13,18,355,14
159,14,12,15,21,347,11
160,6,10,5,19,368,12
161,13,8,12,15,364,8
162,14,9,13,9,362,13
163,15,8,10,13,361,13
164,14,15,12,17,356,6
165,10,7,13,18,360,12
166,15,13,14,20,347,11
167,12,12,17,12,358,9
168,13,12,8,15,361,11
169,18,8,17,16,347,14
170,16,9,11,22,354,8
171,15,7,6,13,364,15
172,11,8,16,8,366,11
173,12,8,12,14,367,7
174,14,7,10,17,357,15
175,8,10,10,10,364,18
176,13,13,11,13,356,14
177,12,9,12,20,359,8
178,13,11,9,13,366,8
179,8,11,8,7,373,13
180,12,15,10,12,359,12
181,13,11,13,13,356,14
182,15,7,10,13,362,13
183,9,11,5,10,375,10
184,12,8,11,12,362,15
185,6,13,9,10,367,15
186,11,11,9,15,366,8
187,33,12,12,7,340,16
188,51,11,13,9,320,16
189,73,13,5,18,295,16
190,88,6,8,12,292,14
191,87,10,9,21,280,13
192,116,10,13,10,257,14
193,118,17,7,10,260,8
194,167,10,7,11,216,9
195,167,9,11,16,203,14
196,169,13,11,16,198,13
197,138,10,13,37,213,9
198,151,8,14,48,186,13
199,136,13,9,91,157,14
200,139,7,13,92,152,17
201,112,10,12,110,165,11
202,116,13,12,107,154,18
203,107,9,11,94,185,14
204,116,12,9,91,181,11
205,99,14,12,95,188,12
206,104,12,8,77,209,10
207,105,8,9,72,212,14
208,91,10,11,69,221,18
209,88,19,9,55,234,15
210,76,9,7,65,249,14
211,65,12,10,55,266,12
212,78,9,10,53,258,12
213,68,15,8,50,262,17
214,59,11,13,53,276,8
215,60,9,10,56,272,13
216,42,11,11,78,272,6
217,53,7,10,45,296,9
218,48,9,10,38,305,10
219,48,8,15,39,299,11
220,57,13,18,36,287,9
221,44,19,8,36,297,16
222,39,12,10,47,301,11
223,42,11,12,38,305,12
224,37,15,6,34,311,17
225,40,7,5,30,336,2
226,61,11,10,33,295,10
227,78,10,12,36,272,12
228,97,13,12,25,256,17
229,120,13,10,35,232,10
230,119,10,10,32,239,10
231,129,13,13,25,228,12
232,159,10,14,22,203,12
233,156,10,14,26,200,14
234,177,13,11,23,176,20
235,196,9,18,20,167,10
236,202,8,17,24,163,6
237,210,21,11,24,143,11
238,209,5,17,18,153,18
239,214,14,9,23,150,10
240,235,16,8,15,126,20
241,257,9,8,18,115,13
242,271,10,9,9,106,15
243,254,16,8,12,115,15
244,268,14,11,16,103,8
245,250,14,17,23,102,14
246,288,6,13,15,90,8
247,266,10,10,21,106,7
248,282,15,11,23,72,17
249,268,15,10,19,93,15
250,287,13,8,17,79,16
251,271,17,7,20,90,15
252,307,7,9,14,69,14
253,312,9,9,13,59,18
254,287,7,12,19,74,21
255,308,9,7,17,64,15
256,322,9,7,20,49,13
257,321,14,6,18,46,15
258,324,16,6,23,39,12
259,300,13,12,26,52,17
260,332,18,5,13,38,14
261,319,10,11,20,45,15
262,330,10,7,21,45,7
263,327,16,8,11,46,12
264,332,10,14,16,32,16
265,332,9,14,26,32,7
266,322,14,14,10,46,14
267,341,10,10,12,36,11
268,345,9,8,19,31,8
269,351,9,9,13,26,12
270,336,8,9,24,34,9
271,344,5,17,15,26,13
272,345,12,15,11,28,9
273,330,14,10,17,33,16
274,345,11,7,13,30,14
275,348,14,6,16,25,11
276,326,9,17,16,49,3
277,295,15,10,14,77,9
278,313,13,8,8,70,8
279,274,12,11,7,105,11
280,253,13,13,17,116,8
281,252,13,6,11,129,9
282,248,9,10,15,126,12
283,213,12,11,11,162,11
284,195,15,6,12,178,14
285,189,13,8,13,186,11
286,186,10,13,13,191,7
287,164,8,9,13,211,15
288,158,6,8,18,222,8
289,157,19,10,12,218,4
290,150,14,8,15,220,13
291,142,10,11,8,241,8
292,124,12,15,19,238,12
293,117,16,14,14,253,6
294,125,14,17,13,246,5
295,111,12,14,12,264,7
296,115,15,10,15,253,12
297,110,7,15,9,266,13
298,93,12,9,12,279,15
299,89,5,13,17,284,12
300,99,13,11,9,276,12
301,84,6,9,12,295,14
302,59,6,9,10,317,19
303,64,9,16,3,317,11
304,68,13,9,8,313,9
305,75,9,15,12,289,20
306,59,5,11,15,319,11
307,61,14,17,14,305,9
308,56,8,7,8,332,9
309,58,10,10,14,322,6
310,69,8,10,13,303,17
311,52,12,12,10,318,16
312,44,14,17,10,325,10
313,49,19,17,13,316,6
314,35,53,14,14,300,4
315,47,58,10,9,288,8
316,41,65,11,11,280,12
317,36,96,20,14,243,11
318,37,119,12,11,232,9
319,35,128,14,11,220,12
320,27,139,10,17,210,17
321,35,163,9,13,184,16
322,20,171,10,14,189,16
323,29,168,14,8,188,13
324,32,183,13,14,165,13
325,29,196,14,18,146,17
326,22,184,43,8,150,13
327,24,184,55,12,136,9
328,18,169,80,9,134,10
329,26,161,68,11,146,8
330,25,148,77,13,148,9
331,16,140,94,18,139,13
332,23,135,110,12,126,14
333,20,117,132,12,121,18
334,17,131,138,9,108,17
335,25,131,118,13,119,14
336,19,108,140,13,129,11
337,18,107,149,10,124,12
338,27,90,177,12,104,10
339,24,97,187,13,92,7
340,18,94,199,6,96,7
341,17,94,200,8,92,9
342,21,75,212,9,84,19
343,20,53,248,9,81,9
344,15,78,231,12,74,10
345,17,66,235,9,84,9
346,17,60,233,12,84,14
347,27,48,247,11,77,10
348,16,56,267,14,56,11
349,11,51,270,15,62,11
350,10,44,277,9,71,9
351,11,45,301,12,45,6
352,17,57,285,8,37,16
353,12,49,286,8,54,11
354,12,37,297,11,50,13
355,15,43,297,12,41,12
356,11,42,305,7,45,10
357,13,31,324,5,34,13
358,15,38,299,15,43,10
359,23,27,292,8,56,14
360,20,37,306,11,37,9
361,18,26,317,6,44,9
362,15,27,310,12,39,17
363,7,29,305,13,50,16
364,14,32,315,6,40,13
365,9,37,310,8,45,11
366,11,30,307,15,42,15
367,8,23,340,10,24,15
368,13,23,335,11,29,9
369,10,28,325,17,26,14
370,10,19,333,10,37,11
371,15,22,332,8,31,12
372,12,25,328,6,34,15
373,10,22,315,12,50,11
374,12,19,318,19,41,11
375,16,23,311,15,38,17
376,13,27,309,13,43,15
377,6,21,320,12,50,11
378,10,18,337,15,31,9
379,22,11,334,12,34,7
380,13,24,336,8,30,9
381,10,16,341,13,34,6
382,12,19,329,5,39,16
383,16,24,300,12,57,11
384,15,12,285,15,85,8
385,15,14,290,5,83,13
386,12,12,286,11,89,10
387,13,16,259,12,108,12
388,4,12,248,14,126,16
389,6,11,246,15,131,11
390,9,23,225,19,129,15
391,11,24,223,9,142,11
392,20,10,205,8,164,13
393,8,21,183,8,184,16
394,10,16,191,12,184,7
395,4,8,200,3,189,16
396,11,15,206,14,159,15
397,13,18,201,18,155,15
398,8,13,238,2,151,8
399,11,20,208,7,158,16
